firm,url,metro,principal_name,first_name,email,recent_project,project_observation,personalization_line,source,sent_at,opened_at,replied_at,outcome,notes,pdf_received_at
Höweler + Yoon,https://hyarchitecture.com,Boston,Sarah Yoon,Sarah,,Sean Collier Memorial,Ruled-surface granite assembly,"the Sean Collier Memorial is one of the projects I keep coming back to — the geometry settles into the site in a way that gets harder to do well, not easier, with time.",BSA + GSD,,,,,,
Höweler + Yoon,https://hyarchitecture.com,Boston,Eric Höweler,Eric,,Public Architecture writing + recent practice,Bridging research and built work,"the Public Architecture writing has been useful for me — I keep finding myself recommending the section on civic responsibility to people outside the profession.",BSA + GSD,,,,,,
Studio Luz Architects,https://www.studioluz.com,Boston,Hansy Better Barraza,Hansy,,Roxbury residential work,Housing as civic infrastructure,"the Roxbury work has been on my mind — treating affordable housing as a civic project rather than a procurement deliverable is a different argument than most firms even attempt.",BSA,,,,,,
Merge Architects,https://www.mergearchitects.com,Boston,Elizabeth Whittaker,Elizabeth,,adaptive reuse work,Found-envelope sensibility,"Merge's adaptive-reuse projects have stayed with me — there's a sensibility of treating the existing envelope as a found constraint rather than a problem to redesign through, and it's not as common as it should be.",BSA + GSD,,,,,,
Anmahian Winton,https://www.aw-arch.com,Cambridge,Nick Winton,Nick,,Center for Coastal Studies,Cantilevered timber,"the Center for Coastal Studies has stayed with me — the cantilever lands on the site without overplaying itself, which is a hard thing to pull off in coastal work.",BSA,,,,,,
Utile,https://www.utiledesign.com,Boston,Tim Love,Tim,,Imagine Boston 2030,Civic strategy,"Imagine Boston 2030 is one of the few civic-strategy docs I've actually read end-to-end — the equity-as-program section reframed how I think about architecture's role at the city scale.",BSA,,,,,,
LOT-EK,https://www.lot-ek.com,New York,Ada Tolla,Ada,,container architecture work,Container language,"the container work is one of those bodies of practice I keep watching — the language has gotten more precise over time rather than more decorative, which is rarer than people give credit for.",AIANY,,,,,,
Snøhetta New York,https://snohetta.com,New York,Craig Dykers,Craig,,Times Square pedestrianization,Civic-scale work,"the Times Square work has held up for me as the rare civic intervention where the computational backbone never shows at the experience layer — most projects with that ambition leak the math.",AIANY,,,,,,
WORKac,https://work.ac,New York,Amale Andraos,Amale,,Stealth Building,Section-driven housing,"the Stealth Building section has become one of the diagrams I reference when trying to explain mixed-use to people who don't naturally think in section.",AIANY + GSAPP,,,,,,
SITU,https://situ.nyc,Brooklyn,Bradley Samuels,Bradley,,investigative spatial work,Forensic architecture,"the investigative-spatial work is the kind of practice expansion that's made me rethink what architects can be useful for — the human-rights casework especially.",AIANY,,,,,,
Marble Fairbanks,https://www.marblefairbanks.com,NYC,Scott Marble,Scott,,New Lots Branch Library,Mass-timber over burial-ground site,"the New Lots Library has stayed with me — the column grid reading as a deliberate response to the burial-ground site rather than a default structural choice is the kind of decision I'd want to ask about.",GSAPP,,,,,,
SCAPE,https://www.scapestudio.com,NYC,Kate Orff,Kate,,Living Breakwaters,Hydrodynamic + ecological modeling,"Living Breakwaters keeps coming up in conversations I'm having about coastal work — the section reading as infrastructure and habitat at the same time is unusual enough that it's still doing real teaching.",GSAPP,,,,,,
